Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
1408,Rectangle,233.82518291690496,237.32540174268445,10.0,10.0,12.094757077012567,#000000,#FF0000,True
1399,Rectangle,211.2981935625728,178.51471441284997,10.0,10.0,-20.0,#000000,#FF0000,True
1398,Rectangle,201.7614386112836,180.04222138636396,5.0,10.0,67.0,#000000,#FF0000,True
1397,Rectangle,217.27921152728584,216.72903881929085,5.0,10.0,69.0,#000000,#FF0000,True
1389,Rectangle,203.05099224501794,187.67784216356534,10.0,10.0,-117.04403120961568,#000000,#FF0000,True
1388,Rectangle,208.62070998868046,197.54014692965586,10.0,10.0,-114.12098311944266,#000000,#FF0000,True
1387,Rectangle,212.7733702193624,208.22749950067714,10.0,10.0,-111.93527445002042,#000000,#FF0000,True
1385,Rectangle,216.9462734573654,187.8167549393301,10.0,10.0,-110.52125124159015,#000000,#FF0000,True
1384,Rectangle,221.03570172284276,197.81217681298233,10.0,10.0,-107.08622672886551,#000000,#FF0000,True
1383,Rectangle,224.5951569620409,208.52457269316528,10.0,10.0,-104.09839467642261,#000000,#FF0000,True
1382,Rectangle,225.68704747174888,220.51662492168566,10.0,10.0,-84.68917952069278,#000000,#FF0000,True
1381,Rectangle,223.77895910228074,231.8115750739937,10.0,10.0,-76.60750224624869,#000000,#FF0000,True
1372,Rectangle,220.95692324615038,243.09993058737723,10.0,10.0,12.0,#000000,#FF0000,True
1335,Rectangle,218.50829368703802,226.55897026587104,5.0,10.0,13.0,#000000,#FF0000,True
1317,Rectangle,213.77935066546166,239.71391576655662,10.0,5.0,104.49646835521564,#000000,#FF0000,True
1313,Rectangle,202.09480520315782,159.00411780934792,10.0,10.0,-16.0,#000000,#FF0000,True
1309,Rectangle,226.53588138975869,59.00742480452652,10.0,10.0,38.0,#000000,#FF0000,True
1308,Rectangle,233.16149711387243,50.13764891579342,10.0,10.0,42.0,#000000,#FF0000,True
1307,Rectangle,220.44458951436388,68.1977950024908,10.0,10.0,32.0,#000000,#FF0000,True
1297,Rectangle,241.58164022429003,43.316683724384006,5.0,10.0,-43.0,#000000,#FF0000,True
1296,Rectangle,244.70286588682092,36.6567533198637,10.0,10.0,-44.0,#000000,#FF0000,True
1265,Rectangle,228.58280533160746,78.10631214496289,10.0,10.0,114.49835094410793,#000000,#FF0000,True
1264,Rectangle,233.8680689586581,68.15154257060442,10.0,10.0,117.18708882130929,#000000,#FF0000,True
1263,Rectangle,240.9102100054917,58.387697915335366,10.0,10.0,126.85518182092946,#000000,#FF0000,True
1227,Rectangle,237.8019685900004,90.9369153884465,10.0,10.0,113.53302043473693,#000000,#FF0000,True
1226,Rectangle,241.64380519816325,80.04315570846802,10.0,10.0,122.53855619859903,#000000,#FF0000,True
485,Rectangle,187.00694061234242,182.19474875517574,5.0,5.0,-18.0,#000000,#FF0000,True
484,Rectangle,183.94038635013004,171.79604838281017,5.0,10.0,-19.0,#000000,#FF0000,True
483,Rectangle,130.2298025140035,202.92701986258407,5.0,10.0,-21.0,#000000,#FF0000,True
482,Rectangle,110.96023327761833,214.14502927320802,10.0,10.0,151.06711260711617,#000000,#FF0000,True
481,Rectangle,121.320145003231,210.06792174602208,10.0,10.0,149.74190181226558,#000000,#FF0000,True
480,Rectangle,135.85433159580072,199.36820776814739,10.0,10.0,150.62478605246892,#000000,#FF0000,True
479,Rectangle,145.56492992450148,193.43618623386743,10.0,10.0,142.3646438255556,#000000,#FF0000,True
478,Rectangle,154.30036922283006,186.2005840936203,10.0,10.0,149.18183379105824,#000000,#FF0000,True
477,Rectangle,164.7786471967038,182.36321610546474,10.0,10.0,154.36788955553078,#000000,#FF0000,True
476,Rectangle,175.17334600308698,178.6207913129153,10.0,10.0,159.6437176039065,#000000,#FF0000,True
475,Rectangle,191.46514854785954,174.09042253141507,10.0,10.0,162.77146476751835,#000000,#FF0000,True
454,Rectangle,188.36211807313845,161.64600190933027,10.0,10.0,-144.8415476320118,#000000,#FF0000,True
