Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
1399,Rectangle,370.3360289399892,488.53783654097816,10.0,10.0,-20.0,#000000,#FF0000,True
1398,Rectangle,360.7992739887,490.06534351449216,5.0,10.0,67.0,#000000,#FF0000,True
1389,Rectangle,362.08882762243434,497.70096429169354,10.0,10.0,-117.04403120961568,#000000,#FF0000,True
1388,Rectangle,367.65854536609686,507.56326905778405,10.0,10.0,-114.12098311944266,#000000,#FF0000,True
1387,Rectangle,371.8112055967788,518.2506216288053,10.0,10.0,-111.93527445002042,#000000,#FF0000,True
1385,Rectangle,375.9841088347818,497.8398770674583,10.0,10.0,-110.52125124159015,#000000,#FF0000,True
1384,Rectangle,380.07353710025916,507.8352989411105,10.0,10.0,-107.08622672886551,#000000,#FF0000,True
1383,Rectangle,383.6329923394573,518.5476948212935,10.0,10.0,-104.09839467642261,#000000,#FF0000,True
1313,Rectangle,361.1326405805742,469.0272399374761,10.0,10.0,-16.0,#000000,#FF0000,True
1307,Rectangle,379.4824248917803,378.220917130619,10.0,10.0,32.0,#000000,#FF0000,True
485,Rectangle,346.0447759897588,492.21787088330393,5.0,5.0,-18.0,#000000,#FF0000,True
484,Rectangle,342.97822172754644,481.81917051093836,5.0,10.0,-19.0,#000000,#FF0000,True
483,Rectangle,289.2676378914199,512.9501419907123,5.0,10.0,-21.0,#000000,#FF0000,True
481,Rectangle,280.3579803806474,520.0910438741503,10.0,10.0,149.74190181226558,#000000,#FF0000,True
480,Rectangle,294.8921669732171,509.3913298962756,10.0,10.0,150.62478605246892,#000000,#FF0000,True
479,Rectangle,304.6027653019179,503.4593083619956,10.0,10.0,142.3646438255556,#000000,#FF0000,True
478,Rectangle,313.33820460024646,496.2237062217485,10.0,10.0,149.18183379105824,#000000,#FF0000,True
477,Rectangle,323.8164825741202,492.38633823359294,10.0,10.0,154.36788955553078,#000000,#FF0000,True
476,Rectangle,334.2111813805034,488.6439134410435,10.0,10.0,159.6437176039065,#000000,#FF0000,True
475,Rectangle,350.50298392527594,484.11354465954327,10.0,10.0,162.77146476751835,#000000,#FF0000,True
454,Rectangle,347.39995345055485,471.66912403745846,10.0,10.0,-144.8415476320118,#000000,#FF0000,True
453,Rectangle,231.93239714221855,463.75503877605064,10.0,10.0,132.40269659009545,#000000,#FF0000,True
452,Rectangle,239.90763204240628,455.7753426598445,10.0,10.0,126.96272584484362,#000000,#FF0000,True
451,Rectangle,249.13902179777165,447.8921704144006,10.0,10.0,144.88703514177908,#000000,#FF0000,True
450,Rectangle,259.4596646018479,441.7858811589761,10.0,10.0,160.69711123670805,#000000,#FF0000,True
449,Rectangle,269.91535895573725,438.8220248961952,10.0,10.0,162.42638451953803,#000000,#FF0000,True
448,Rectangle,281.0133380055214,435.7555198937203,10.0,10.0,169.5425069993929,#000000,#FF0000,True
447,Rectangle,292.7342934869188,434.94414581600336,10.0,10.0,179.70052357456905,#000000,#FF0000,True
446,Rectangle,303.87104287683354,434.9811459911253,10.0,10.0,-184.99148535258783,#000000,#FF0000,True
445,Rectangle,315.8606518948929,436.80816331960403,10.0,10.0,-169.94628636769335,#000000,#FF0000,True
444,Rectangle,327.28752780729684,440.43795942346543,10.0,10.0,-154.97337268636713,#000000,#FF0000,True
443,Rectangle,336.57036222814475,448.2283483370298,10.0,10.0,-139.18533164024598,#000000,#FF0000,True
414,Rectangle,240.81628817806035,496.4918687384026,5.0,10.0,53.0,#000000,#FF0000,True
413,Rectangle,235.57089989456398,488.06843153296063,10.0,10.0,-32.0,#000000,#FF0000,True
412,Rectangle,235.8871759252286,479.1187681751431,5.0,10.0,59.0,#000000,#FF0000,True
411,Rectangle,245.020763570395,482.28853771158805,10.0,10.0,-28.0,#000000,#FF0000,True
410,Rectangle,240.82910146630323,470.5815426260748,10.0,10.0,34.0,#000000,#FF0000,True
408,Rectangle,253.97383267129428,476.2771512368811,5.0,10.0,-25.0,#000000,#FF0000,True
405,Rectangle,249.86599464067086,462.40599586208305,10.0,10.0,20.0,#000000,#FF0000,True
17,Triangle,255.99910316509607,462.49892174881666,10.0,10.0,154.0,#000000,#FF0000,True
402,Rectangle,266.9084873493422,458.6159372484345,5.0,10.0,-19.0,#000000,#FF0000,True
401,Rectangle,272.27373440248397,455.66646960350636,10.0,10.0,-18.0,#000000,#FF0000,True
