Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
1398,Rectangle,246.31719673141862,221.16558065436618,5.0,10.0,67.0,#000000,#FF0000,True
485,Rectangle,231.56269873247743,223.31810802317796,5.0,5.0,-18.0,#000000,#FF0000,True
484,Rectangle,228.49614447026505,212.9194076508124,5.0,10.0,-19.0,#000000,#FF0000,True
483,Rectangle,174.7855606341385,244.0503791305863,5.0,10.0,-21.0,#000000,#FF0000,True
480,Rectangle,180.41008971593573,240.4915670361496,10.0,10.0,150.62478605246892,#000000,#FF0000,True
479,Rectangle,190.1206880446365,234.55954550186965,10.0,10.0,142.3646438255556,#000000,#FF0000,True
478,Rectangle,198.85612734296507,227.32394336162253,10.0,10.0,149.18183379105824,#000000,#FF0000,True
477,Rectangle,209.3344053168388,223.48657537346696,10.0,10.0,154.36788955553078,#000000,#FF0000,True
476,Rectangle,219.729104123222,219.7441505809175,10.0,10.0,159.6437176039065,#000000,#FF0000,True
475,Rectangle,236.02090666799455,215.2137817994173,10.0,10.0,162.77146476751835,#000000,#FF0000,True
454,Rectangle,232.91787619327346,202.76936117733248,10.0,10.0,-144.8415476320118,#000000,#FF0000,True
453,Rectangle,117.45031988493716,194.85527591592466,10.0,10.0,132.40269659009545,#000000,#FF0000,True
452,Rectangle,125.42555478512489,186.87557979971854,10.0,10.0,126.96272584484362,#000000,#FF0000,True
451,Rectangle,134.65694454049026,178.99240755427462,10.0,10.0,144.88703514177908,#000000,#FF0000,True
450,Rectangle,144.97758734456653,172.88611829885014,10.0,10.0,160.69711123670805,#000000,#FF0000,True
449,Rectangle,155.43328169845586,169.92226203606924,10.0,10.0,162.42638451953803,#000000,#FF0000,True
448,Rectangle,166.53126074824002,166.85575703359433,10.0,10.0,169.5425069993929,#000000,#FF0000,True
447,Rectangle,178.25221622963738,166.04438295587738,10.0,10.0,179.70052357456905,#000000,#FF0000,True
446,Rectangle,189.38896561955215,166.0813831309993,10.0,10.0,-184.99148535258783,#000000,#FF0000,True
445,Rectangle,201.3785746376115,167.90840045947806,10.0,10.0,-169.94628636769335,#000000,#FF0000,True
444,Rectangle,212.80545055001545,171.53819656333945,10.0,10.0,-154.97337268636713,#000000,#FF0000,True
443,Rectangle,222.08828497086336,179.3285854769038,10.0,10.0,-139.18533164024598,#000000,#FF0000,True
414,Rectangle,126.33421092077896,227.59210587827664,5.0,10.0,53.0,#000000,#FF0000,True
413,Rectangle,121.08882263728259,219.16866867283466,10.0,10.0,-32.0,#000000,#FF0000,True
412,Rectangle,121.40509866794721,210.2190053150171,5.0,10.0,59.0,#000000,#FF0000,True
411,Rectangle,130.5386863131136,213.38877485146207,10.0,10.0,-28.0,#000000,#FF0000,True
410,Rectangle,126.34702420902184,201.68177976594882,10.0,10.0,34.0,#000000,#FF0000,True
408,Rectangle,139.49175541401289,207.3773883767551,5.0,10.0,-25.0,#000000,#FF0000,True
405,Rectangle,135.38391738338947,193.50623300195707,10.0,10.0,20.0,#000000,#FF0000,True
17,Triangle,141.51702590781468,193.59915888869068,10.0,10.0,154.0,#000000,#FF0000,True
402,Rectangle,152.4264100920608,189.7161743883085,5.0,10.0,-19.0,#000000,#FF0000,True
401,Rectangle,157.79165714520258,186.76670674338038,10.0,10.0,-18.0,#000000,#FF0000,True
400,Rectangle,168.85216081368293,183.81723909845232,10.0,10.0,-12.0,#000000,#FF0000,True
399,Rectangle,180.4042424229845,183.07987218722025,10.0,10.0,0.0,#000000,#FF0000,True
398,Rectangle,191.58764057667008,183.44855564283637,10.0,10.0,6.0,#000000,#FF0000,True
397,Rectangle,215.10259754678265,192.29695857762067,5.0,10.0,115.0,#000000,#FF0000,True
396,Rectangle,202.89393321556105,185.9064453469431,10.0,10.0,18.0,#000000,#FF0000,True
395,Rectangle,224.03178467087895,196.3524765893966,10.0,10.0,-58.0,#000000,#FF0000,True
394,Rectangle,130.45156186210178,232.36008515696574,5.0,10.0,45.0,#000000,#FF0000,True
393,Rectangle,134.87827707134485,236.36520844151892,5.0,10.0,45.0,#000000,#FF0000,True
392,Rectangle,139.72658420527773,240.1595357637275,5.0,10.0,45.0,#000000,#FF0000,True
391,Rectangle,167.18277061539692,243.91656158007652,5.0,5.0,0.0,#000000,#FF0000,True
390,Rectangle,149.12330139692546,244.10742450595296,5.0,10.0,3.0,#000000,#FF0000,True
389,Rectangle,155.1836853143418,242.0872965334811,5.0,10.0,1.0,#000000,#FF0000,True
388,Rectangle,161.32487435065678,241.92568629568348,5.0,10.0,1.0,#000000,#FF0000,True
387,Rectangle,135.2822706626721,223.6789118225713,10.0,10.0,-38.0,#000000,#FF0000,True
386,Rectangle,143.68772452851476,231.45961915501402,10.0,10.0,-46.0,#000000,#FF0000,True
384,Rectangle,156.27456727488544,236.31130390686985,10.0,5.0,-180.78259495401397,#000000,#FF0000,True
383,Rectangle,167.1695919187256,237.4426334120604,10.0,5.0,171.3401394940083,#000000,#FF0000,True
382,Rectangle,177.91630656422666,234.50546477089193,10.0,5.0,156.48843023820152,#000000,#FF0000,True
381,Rectangle,186.77266511541274,227.64279136520543,10.0,5.0,140.12410897578224,#000000,#FF0000,True
380,Rectangle,195.9709395159319,221.71446602167356,10.0,5.0,149.07421283248956,#000000,#FF0000,True
379,Rectangle,206.31184245903762,218.07168999451864,10.0,5.0,153.2762521541296,#000000,#FF0000,True
378,Rectangle,216.3572053192471,214.12543502140738,10.0,5.0,160.07441934181546,#000000,#FF0000,True
372,Rectangle,201.85900867848477,213.9753864974378,5.0,5.0,16.0,#000000,#FF0000,True
15,Triangle,212.55608999056574,209.28466259419275,10.0,10.0,26.0,#000000,#FF0000,True
371,Rectangle,144.39838861437988,217.4033060427505,5.0,10.0,-29.0,#000000,#FF0000,True
370,Rectangle,152.15812403983034,225.34634230502252,5.0,10.0,-47.0,#000000,#FF0000,True
369,Rectangle,160.81432216598733,229.82900721427728,5.0,5.0,-10.0,#000000,#FF0000,True
367,Rectangle,167.067935715553,232.14776280007135,5.0,5.0,-10.0,#000000,#FF0000,True
365,Rectangle,175.2148483335797,227.25487730085274,5.0,10.0,73.0,#000000,#FF0000,True
364,Rectangle,189.2957960165378,217.49239451978264,5.0,10.0,49.0,#000000,#FF0000,True
363,Rectangle,183.07380186132377,225.40633748600789,5.0,5.0,46.0,#000000,#FF0000,True
358,Rectangle,193.75058229592474,209.758178942727,5.0,10.0,103.0,#000000,#FF0000,True
357,Rectangle,201.44104787688792,202.0626832431122,5.0,10.0,7.0,#000000,#FF0000,True
356,Rectangle,190.5777180708538,200.57586905537283,10.0,10.0,2.0,#000000,#FF0000,True
355,Rectangle,191.56759626174295,191.8327464560935,5.0,10.0,93.0,#000000,#FF0000,True
351,Rectangle,176.54333048537836,193.86351946359753,5.0,5.0,-6.0,#000000,#FF0000,True
350,Rectangle,165.39552668299098,218.19466774082946,5.0,10.0,73.0,#000000,#FF0000,True
349,Rectangle,173.26331026883963,218.03903627172656,5.0,5.0,-16.0,#000000,#FF0000,True
348,Rectangle,155.62749101371804,215.96962759810094,5.0,10.0,63.0,#000000,#FF0000,True
347,Rectangle,165.70483880055536,211.79121510111986,5.0,10.0,73.0,#000000,#FF0000,True
