Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
1537,Rectangle,133.48555005677088,155.2477073315397,5.0,10.0,-39.0,#000000,#80FF00,True
1535,Rectangle,128.18690946767163,158.87397876202374,5.0,10.0,-29.0,#000000,#80FF00,True
1534,Rectangle,125.99066970997842,152.03772480201815,5.0,5.0,-8.0,#000000,#80FF00,True
1533,Rectangle,117.74854758229247,151.47704765559126,5.0,10.0,75.0,#000000,#80FF00,True
1532,Rectangle,105.06710260103375,155.35569336273716,10.0,10.0,-18.0,#000000,#80FF00,True
61,Triangle,61.10470443822919,167.90549036203197,10.0,10.0,68.0,#000000,#80FF00,True
1530,Rectangle,71.96704460001774,164.44716016786708,10.0,10.0,-14.0,#000000,#80FF00,True
1529,Rectangle,83.46223914335417,163.59224200991696,10.0,10.0,-16.0,#000000,#80FF00,True
1528,Rectangle,95.0036342756814,159.42451598990988,10.0,10.0,-20.0,#000000,#80FF00,True
1527,Rectangle,62.227068382338814,156.5550136697085,5.0,10.0,-25.0,#000000,#80FF00,True
60,Triangle,52.17297285146037,160.95470993575236,10.0,10.0,58.0,#000000,#80FF00,True
59,Triangle,135.44223521538675,140.01597458371612,10.0,10.0,0.0,#000000,#80FF00,True
1525,Rectangle,68.61095685160268,154.24367888119423,10.0,10.0,-191.83129430860197,#000000,#80FF00,True
1524,Rectangle,79.85705942144244,153.18382910333708,10.0,10.0,163.97267729949994,#000000,#80FF00,True
1523,Rectangle,90.9828637014856,149.3180496877934,10.0,10.0,158.21214708367341,#000000,#80FF00,True
1522,Rectangle,101.37678994642397,145.13998405406778,10.0,10.0,161.66231183391258,#000000,#80FF00,True
1521,Rectangle,113.06449141036143,143.17639146025135,10.0,10.0,172.02400386756594,#000000,#80FF00,True
1520,Rectangle,124.02402999227547,141.29055784045056,10.0,10.0,173.94046240262392,#000000,#80FF00,True
58,Triangle,81.95269601371126,191.8785173682312,10.0,10.0,-2.0,#000000,#80FF00,True
1518,Rectangle,127.15668116966356,181.43777411418546,10.0,10.0,1.1719535018275486,#000000,#80FF00,True
1517,Rectangle,115.55674003068401,181.9714733816196,10.0,10.0,-9.49232452511016,#000000,#80FF00,True
1516,Rectangle,104.34424226654687,185.57809123858,10.0,10.0,-23.012983105680643,#000000,#80FF00,True
1515,Rectangle,94.13954542804095,189.85244208410177,10.0,10.0,-25.97184601119387,#000000,#80FF00,True
1514,Rectangle,84.75637621783955,197.58643955392722,10.0,10.0,-45.459418601811464,#000000,#80FF00,True
1513,Rectangle,77.1955655924869,205.46900049266287,10.0,10.0,-44.09855445618898,#000000,#80FF00,True
1512,Rectangle,73.79410442316419,186.6187991645828,10.0,5.0,176.11884244943695,#000000,#80FF00,True
1511,Rectangle,84.79516984248062,185.33821886671592,10.0,5.0,169.14586462830383,#000000,#80FF00,True
1510,Rectangle,95.59373785328751,182.3131749605617,10.0,5.0,161.98190883026606,#000000,#80FF00,True
1509,Rectangle,105.94896716759456,178.5269567478607,10.0,5.0,159.38013505195923,#000000,#80FF00,True
1508,Rectangle,116.36219847247133,174.43497499997477,10.0,5.0,157.57294306814148,#000000,#80FF00,True
1507,Rectangle,126.60603876280447,170.54279533683734,10.0,5.0,150.86580694308427,#000000,#80FF00,True
1506,Rectangle,155.23195222272545,133.2509767031055,5.0,10.0,53.0,#000000,#80FF00,True
1504,Rectangle,144.267103393801,140.252132464856,10.0,10.0,-44.0,#000000,#80FF00,True
