Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
1537,Small,497.96762731405227,674.1474701916657,5.0,10.0,-39.0,#1d1c21,,False
63,Triangle,496.88862846164045,694.1754754769091,10,10,52.0,#1d1c21,,False
1535,Small,492.668986724953,677.7737416221497,5.0,10.0,-29.0,#1d1c21,,False
1534,Small,490.4727469672598,670.9374876621441,5.0,5.0,-8.0,#1d1c21,,False
1533,Small,482.23062483957386,670.3768105157172,5.0,10.0,75.0,#1d1c21,,False
1532,Small,469.54917985831514,674.2554562228631,10.0,10.0,-18.0,#1d1c21,,False
61,Triangle,425.5867816955106,686.805253222158,10,10,68.0,#1d1c21,,False
1530,Small,436.44912185729913,683.3469230279931,10.0,10.0,-14.0,#1d1c21,,False
1529,Small,447.94431640063556,682.4920048700429,10.0,10.0,-16.0,#1d1c21,,False
1528,Small,459.4857115329628,678.3242788500359,10.0,10.0,-20.0,#1d1c21,,False
1527,Small,426.7091456396202,675.4547765298345,5.0,10.0,-25.0,#1d1c21,,False
60,Triangle,416.65505010874176,679.8544727958783,10,10,58.0,#1d1c21,,False
59,Triangle,499.92431247266813,658.9157374438421,10,10,0,#1d1c21,,False
1525,Small,433.09303410888407,673.1434417413202,10.0,10.0,-191.83129430860197,#1d1c21,,False
1524,Small,444.33913667872383,672.083591963463,10.0,10.0,163.97267729949994,#1d1c21,,False
1523,Small,455.464940958767,668.2178125479194,10.0,10.0,158.21214708367341,#1d1c21,,False
1522,Small,465.85886720370536,664.0397469141938,10.0,10.0,161.66231183391258,#1d1c21,,False
1521,Small,477.5465686676428,662.0761543203773,10.0,10.0,172.02400386756594,#1d1c21,,False
1520,Small,488.50610724955686,660.1903207005765,10.0,10.0,173.94046240262392,#1d1c21,,False
58,Triangle,446.43477327099265,710.7782802283572,10,10,-2.0,#1d1c21,,False
1518,Small,491.63875842694495,700.3375369743114,10.0,10.0,1.1719535018275486,#1d1c21,,False
1517,Small,480.0388172879654,700.8712362417456,10.0,10.0,-9.49232452511016,#1d1c21,,False
1516,Small,468.82631952382826,704.477854098706,10.0,10.0,-23.012983105680643,#1d1c21,,False
1515,Small,458.62162268532234,708.7522049442277,10.0,10.0,-25.97184601119387,#1d1c21,,False
1514,Small,449.23845347512093,716.4862024140532,10.0,10.0,-45.459418601811464,#1d1c21,,False
1513,Small,441.6776428497683,724.3687633527888,10.0,10.0,-44.09855445618898,#1d1c21,,False
1512,Small,438.2761816804456,705.5185620247088,10.0,5.0,176.11884244943695,#1d1c21,,False
1511,Small,449.277247099762,704.2379817268419,10.0,5.0,169.14586462830383,#1d1c21,,False
1510,Small,460.0758151105689,701.2129378206877,10.0,5.0,161.98190883026606,#1d1c21,,False
1509,Small,470.43104442487595,697.4267196079867,10.0,5.0,157.38013505195923,#1d1c21,,False
1508,Small,480.8442757297527,693.3347378601007,10.0,5.0,157.57294306814148,#1d1c21,,False
1507,Small,491.08811602008586,689.4425581969633,10.0,5.0,150.86580694308427,#1d1c21,,False
1506,Small,519.7140294800068,652.1507395632315,5.0,10.0,53.0,#1d1c21,,False
1504,Small,508.7491806510824,659.151895324982,10.0,10.0,-44.0,#1d1c21,,False
1503,Small,406.9773998689316,683.1962025494523,10.0,10.0,-141.16439767522678,#1d1c21,,False
1502,Small,416.53762666990735,689.6722797001496,10.0,10.0,-154.1426934253821,#1d1c21,,False
1501,Small,427.98224553001825,694.7637950051699,10.0,10.0,-173.0416096660444,#1d1c21,,False
1500,Small,439.6153965580059,694.5224844722406,10.0,10.0,177.88053326641887,#1d1c21,,False
1499,Small,451.24688724742003,692.6678510393771,10.0,10.0,164.22143891940416,#1d1c21,,False
1498,Small,461.7005430067082,689.3308820375121,10.0,10.0,162.0350444891851,#1d1c21,,False
1497,Small,472.10751977656906,685.0149754570602,10.0,10.0,157.18920625702702,#1d1c21,,False
1496,Small,482.24784710882085,680.605310524322,10.0,10.0,152.10761770924455,#1d1c21,,False
1494,Small,501.51277255771686,667.2547574652548,10.0,10.0,137.35175262626453,#1d1c21,,False
57,Triangle,468.30932706669955,634.0271739608967,10,10,-112.0,#1d1c21,,False
1475,Small,529.1582351936079,646.4673919979501,5.0,10.0,67.0,#1d1c21,,False
1474,Small,532.1327188966169,636.6733052570318,5.0,10.0,-5.0,#1d1c21,,False
1473,Small,523.3926032988211,635.7824763839196,5.0,10.0,69.0,#1d1c21,,False
1472,Small,513.7836590367291,640.9032999811651,5.0,10.0,65.0,#1d1c21,,False
1471,Small,503.0971820623521,644.3415577903127,5.0,10.0,83.0,#1d1c21,,False
1470,Small,491.0168167869693,650.6605180882051,5.0,10.0,79.0,#1d1c21,,False
55,Triangle,488.14511324003433,641.1820776413659,10,10,-112.0,#1d1c21,,False
1469,Small,448.94125726640954,633.7318541449929,5.0,10.0,-27.0,#1d1c21,,False
1468,Small,451.54318209495324,645.3475899867074,5.0,10.0,-23.0,#1d1c21,,False
1467,Small,457.1277342407865,637.4488896143419,10.0,10.0,-18.0,#1d1c21,,False
1466,Small,411.778879364654,670.3645367679903,5.0,5.0,-40.0,#1d1c21,,False
1465,Small,418.3766173227479,662.6606871109025,5.0,10.0,55.0,#1d1c21,,False
1464,Small,442.16564432657844,646.6774345927039,5.0,10.0,61.0,#1d1c21,,False
